Дата,Группа,№ Группы,№ Объявления,Тип площадки,Формат,Размер изображения,Тип устройства,Пол,Категория таргетинга,Упоминание брендов,Уровень платежеспособности,Возраст,Заголовок,Текст,Ссылка,Показы,Взвешенные показы,Клики,CTR (%),wCTR (%),Расход (руб.),Конверсия (%)/Товар добавлен в корзину,Конверсия (%)/Заказ оформлен,Конверсия (%)/Лид с Centra Market//Динамика,Конверсии/Товар добавлен в корзину,Конверсии/Заказ оформлен,Конверсии/Лид с Centra Market//Динамика
15.06.2023,Велосипед Stinger,4296804875,M-9591380676,поиск,текстовый,без изображения,мобильные,не определен,Целевые запросы,не определено,Остальные,не определен,Магазин велосипедов Stinger,Велосипеды Stinger в Иркутске и обл. От 11 450 руб. Бесплатная сборка и настройка!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stinger,4296804875,M-9591380678,поиск,графический,с изображением,десктоп,мужской,Запросы с упоминанием конкурентов,не определено,Остальные,35-44,{PHRASEКупить велосипед Stinger},Велосипеды Stinger в Иркутске и обл. От 11 450 руб. Бесплатная сборка и настройка!,,1,0.81,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Женский,4296804877,M-9591380694,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить женский велосипед},Женские велосипеды в Иркутске. Доставка. От 9250 руб. Скидка 15% на все модели!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Женский,4296804877,M-9591380696,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,25-34,Купить женский велосипед,Женские велосипеды в Иркутске. Доставка. От 9250 руб. Бесплатная сборка и настройка!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Складной,4296804880,M-9591380710,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,младше 18,Магазин складных велосипедов,Centra Market- Большой выбор складных велосипедов. Более 40 моделей. Модели 2023 г.,,1,0.7,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380722,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,18-24,Магазин детских велосипедов,Centra Market- Большой выбор детских велосипедов. Все модели на сайте. Модели 2023г.,,1,0.67,1,100.0,150.17,26.02,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380722,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,25-34,Магазин детских велосипедов,Centra Market- Большой выбор детских велосипедов. Все модели на сайте. Модели 2023г.,,1,0.9,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380722,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,Магазин детских велосипедов,Centra Market- Большой выбор детских велосипедов. Все модели на сайте. Модели 2023г.,,1,0.68,1,100.0,146.31,18.21,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,1,1.03,1,100.0,97.1,41.47,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,18-24,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,1,0.72,1,100.0,138.12,15.49,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,графический,с изображением,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,3,2.78,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,2,2.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,18-24,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380724,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить детский велосипед},Детские велосипеды в Иркутске и обл. Доставка. Бесплатная сборка и настройка!,,2,1.37,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Детский,4296804882,M-9591380726,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,Купить детский велосипед,Детские велосипеды в Иркутске. 90 моделей. От 3450 руб. Бесплатно сборка и настройка!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Favorit,4296804884,M-9591380736,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,6-10%,35-44,Магазин велосипедов Favorit,Велосипеды Favorit в Иркутске и обл. От 6 230 руб. Бесплатная сборка и настройка!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Favorit,4296804884,M-9591380740,поиск,текстовый,без изображения,мобильные,не определен,Альтернативные запросы,не определено,Остальные,не определен,Велосипеды Favorit,Велосипеды Favorit в Иркутске и обл. От 6 230 руб. Бесплатная сборка и настройка!,,1,1.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380744,поиск,графический,с изображением,десктоп,не определен,Целевые запросы,не определено,Остальные,не определен,Магазин велосипедов Stels,Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380744,поиск,текстовый,без изображения,мобильные,не определен,Целевые запросы,не определено,Остальные,не определен,Магазин велосипедов Stels,Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,1,0.77,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380744,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,18-24,Магазин велосипедов Stels,Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,1,0.79,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380744,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,25-34,Магазин велосипедов Stels,Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,1,0.79,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380744,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,25-34,Магазин велосипедов Stels,Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,3,1.72,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380744,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,Магазин велосипедов Stels,Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,2,1.08,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380746,поиск,графический,с изображением,десктоп,не определен,Целевые запросы,не определено,Остальные,не определен,{PHRASEКупить велосипед Stels},Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,1,0.97,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380746,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить велосипед Stels},Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,1,0.94,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Stels,4296804885,M-9591380750,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,2-5%,25-34,Купить велосипед Stels,Велосипеды Stels в Иркутске и обл. 142 модели от 4 850 руб. Акция -15% на все!,,1,0.74,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Подростковый,4296804889,M-9591380772,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,25-34,Магазин подростковых велосипедов,Centra Market- Большой выбор подростковых велосипедов. Цены от 6990 руб.,,2,2.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Подростковый,4296804889,M-9591380772,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,Магазин подростковых велосипедов,Centra Market- Большой выбор подростковых велосипедов. Цены от 6990 руб.,,2,1.66,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Подростковый,4296804889,M-9591380772,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,18-24,Магазин подростковых велосипедов,Centra Market- Большой выбор подростковых велосипедов. Цены от 6990 руб.,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Подростковый,4296804889,M-9591380772,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,25-34,Магазин подростковых велосипедов,Centra Market- Большой выбор подростковых велосипедов. Цены от 6990 руб.,,2,0.93,1,50.0,106.98,21.01,-,-,-,-,-,-
15.06.2023,Велосипед Подростковый,4296804889,M-9591380772,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,Магазин подростковых велосипедов,Centra Market- Большой выбор подростковых велосипедов. Цены от 6990 руб.,,3,1.97,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Подростковый,4296804889,M-9591380774,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить подростковый велосипед},Подростковые велосипеды в Иркутске и обл. От 6990 руб. Бесплатно сборка и настройка!,,3,2.66,1,33.33,37.64,24.27,-,-,-,-,-,-
15.06.2023,Велосипед Трехколесный,4296804891,M-9591380788,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,{PHRASEКупить трехколесный велосипед},Трехколесные детские велосипеды в Иркутске и обл. От 3450 руб. Модели 2023 года,,1,0.94,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Трехколесный,4296804891,M-9591380788,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,{PHRASEКупить трехколесный велосипед},Трехколесные детские велосипеды в Иркутске и обл. От 3450 руб. Модели 2023 года,,2,1.41,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Трехколесный,4296804891,M-9591380790,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,Купить трехколесный велосипед,Трехколесные велосипеды в Иркутске. 40 моделей. От 3450 руб. Действует Модели 2023 г.,,1,0.94,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Трехколесный,4296804891,M-9591380790,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,6-10%,25-34,Купить трехколесный велосипед,Трехколесные велосипеды в Иркутске. 40 моделей. От 3450 руб. Действует Модели 2023 г.,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Трехколесный,4296804891,M-9591380790,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,6-10%,25-34,Купить трехколесный велосипед,Трехколесные велосипеды в Иркутске. 40 моделей. От 3450 руб. Действует Модели 2023 г.,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,графический,с изображением,десктоп,мужской,не определено,не определено,Остальные,25-34,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,0.82,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,графический,с изображением,десктоп,мужской,не определено,не определено,2-5%,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,0.69,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,1.03,1,100.0,97.11,26.78,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,1.03,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,1.03,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,6-10%,старше 55,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,1.03,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,графический,с изображением,мобильные,мужской,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,1.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,2,2.08,2,100.0,95.93,76.34,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,6-10%,18-24,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,0.94,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,текстовый,без изображения,мобильные,мужской,Запросы с упоминанием конкурентов,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,1,0.94,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380806,поиск,текстовый,без изображения,мобильные,мужской,Широкие запросы,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей.Бесплатная сборка и настройка!,,2,1.94,1,50.0,51.48,20.34,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380808,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,старше 55,Купить велосипед в Иркутске,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380808,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,6-10%,старше 55,Купить велосипед в Иркутске,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380808,поиск,текстовый,без изображения,мобильные,не определен,Целевые запросы,не определено,Остальные,не определен,Купить велосипед в Иркутске,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380808,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,25-34,Купить велосипед в Иркутске,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380808,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,Купить велосипед в Иркутске,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,2,1.94,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Иркутск,4296804894,M-9591380808,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,25-34,Купить велосипед в Иркутске,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380816,поиск,графический,с изображением,мобильные,мужской,Целевые запросы,не определено,2-5%,35-44,Магазин велосипедов,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380816,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,Магазин велосипедов,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380816,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,6-10%,35-44,Магазин велосипедов,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380816,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,2-5%,35-44,Магазин велосипедов,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380816,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,6-10%,35-44,Магазин велосипедов,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,1,0.73,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,младше 18,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,0.59,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,18-24,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,0.67,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,Остальные,старше 55,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,3,2.69,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,2-5%,18-24,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,0.97,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,0.72,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,старше 55,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,0.79,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,3,3.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,мобильные,женский,Целевые запросы,не определено,Остальные,младше 18,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,графический,с изображением,мобильные,женский,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,25-34,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,7,3.57,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,5,4.43,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,45-54,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,8,8.31,1,12.5,12.03,33.51,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,6-10%,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,0.94,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,текстовый,без изображения,мобильные,мужской,Запросы с упоминанием конкурентов,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,0.93,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,текстовый,без изображения,мобильные,мужской,Широкие запросы,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,2,2.1,1,50.0,47.71,58.78,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,2,0.79,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380818,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,старше 55,{PHRASEКупить велосипед},Велосипеды в Иркутске. Для взрослых и детей. Бесплатная сборка и настройка!,,1,0.7,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380820,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,6-10%,45-54,Купить велосипед,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,0.83,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380820,поиск,графический,с изображением,мобильные,мужской,Целевые запросы,не определено,Остальные,35-44,Купить велосипед,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,1.0,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380820,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,18-24,Купить велосипед,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,0.09,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380820,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,Купить велосипед,Велосипеды для взрослых и детей. 340 моделей. Бесплатная сборка и настройка,,1,0.77,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380822,поиск,графический,с изображением,десктоп,мужской,Целевые запросы,не определено,6-10%,45-54,Купить велосипед,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,1,0.84,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380822,поиск,графический,с изображением,десктоп,женский,Целевые запросы,не определено,Остальные,45-54,Купить велосипед,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,1,0.65,1,100.0,152.91,7.55,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380822,поиск,текстовый,без изображения,мобильные,мужской,Целевые запросы,не определено,Остальные,25-34,Купить велосипед,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,1,0.63,0,0.0,0.0,0.0,-,-,-,-,-,-
15.06.2023,Велосипед Купить,4296804896,M-9591380822,поиск,текстовый,без изображения,мобильные,женский,Целевые запросы,не определено,Остальные,35-44,Купить велосипед,Centra Market- Большой выбор велосипедов. Выберите новую модель 2023 года на сайте!,,2,0.17,0,0.0,0.0,0.0,-,-,-,-,-,-
